id,title,price,category,brand,original_price,discount_percent,size_text,quantity_value,quantity_unit,in_stock,rating_rate,rating_count,description,image,tags
1021,TypeFlow Wireless Beginner Keyboard,34.99,electronics,TypeFlow,44.99,22.2,1 keyboard,1,keyboard,True,4.1,133,"budget wireless keyboard for beginners with usb receiver and slim profile. wireless keyboard. switch type membrane. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1021.jpg,"electronics, keyboard, beginner, membrane, wireless"
1022,ClickForge Red Switch Keyboard,59.99,electronics,ClickForge,79.99,25.0,1 keyboard,1,keyboard,True,4.5,282,"entry mechanical keyboard with red switches, rgb backlight, and hotkey controls. wired keyboard. switch type mechanical. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1022.jpg,"electronics, keyboard, typing, mechanical, wired"
1023,ClickForge Brown Switch Keyboard,64.99,electronics,ClickForge,84.99,23.5,1 keyboard,1,keyboard,True,4.6,204,"mechanical keyboard with tactile brown switches for coding and office use. wired keyboard. switch type mechanical. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1023.jpg,"electronics, keyboard, typing, mechanical, wired"
1024,NorthPeak Wireless Mechanical Keyboard,89.99,electronics,NorthPeak,119.99,25.0,1 keyboard,1,keyboard,True,4.7,176,"wireless mechanical keyboard with tri-mode connectivity and long battery. wireless keyboard. switch type mechanical. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1024.jpg,"electronics, keyboard, typing, mechanical, wireless"
1025,ClearWave Basic USB Keyboard,18.99,electronics,ClearWave,22.99,17.4,1 keyboard,1,keyboard,True,3.9,88,"simple usb keyboard for libraries, labs, and budget desktop setups. wired keyboard. switch type membrane. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1025.jpg,"electronics, keyboard, typing, membrane, wired"
1026,Nimbus Ergo Keyboard,74.99,electronics,Nimbus,99.99,25.0,1 keyboard,1,keyboard,True,4.4,94,"ergonomic split keyboard with cushioned wrist rest for long typing sessions. wireless keyboard. switch type ergonomic. 1 keyboard, beginner-friendly typing experience.",https://synthetic.example.com/products/1026.jpg,"electronics, keyboard, typing, ergonomic, wireless"
1027,NorthPeak Air 13 Laptop,299.99,electronics,NorthPeak,349.99,14.3,1 laptop,1,laptop,True,4.4,92,"13-inch productivity laptop with 8gb ram, 256gb ssd, and all-day battery for notes and browsing. 1 laptop computer. includes webcam and wifi support.",https://synthetic.example.com/products/1027.jpg,"electronics, laptop, computer, productivity"
1028,NorthPeak Flex 14 Laptop,429.99,electronics,NorthPeak,499.99,14.0,1 laptop,1,laptop,True,4.5,147,"14-inch student laptop with 16gb ram, 512gb ssd, and solid multitasking performance. 1 laptop computer. includes webcam and wifi support.",https://synthetic.example.com/products/1028.jpg,"electronics, laptop, computer, student"
1029,AeroTune EduBook 11 Laptop,229.99,electronics,AeroTune,279.99,17.9,1 laptop,1,laptop,True,4.0,81,"entry 11-inch education laptop for web browsing, docs, and lightweight school tasks. 1 laptop computer. includes webcam and wifi support.",https://synthetic.example.com/products/1029.jpg,"electronics, laptop, computer, productivity"
1030,Nimbus Creator 15 Laptop,699.99,electronics,Nimbus,799.99,12.5,1 laptop,1,laptop,True,4.6,118,15-inch performance laptop with color-accurate display and fast storage for creative work. 1 laptop computer. includes webcam and wifi support.,https://synthetic.example.com/products/1030.jpg,"electronics, laptop, computer, productivity"
1031,ClearWave Basic 14 Laptop,259.99,electronics,ClearWave,299.99,13.3,1 laptop,1,laptop,True,3.9,54,"affordable 14-inch laptop for email, documents, and streaming. 1 laptop computer. includes webcam and wifi support.",https://synthetic.example.com/products/1031.jpg,"electronics, laptop, computer, productivity"
1032,TypeFlow Chromebook Plus,249.99,electronics,TypeFlow,299.99,16.7,1 laptop,1,laptop,True,4.2,210,"chromebook-style laptop with fast boot, long battery, and keyboard built for students. 1 laptop computer. includes webcam and wifi support.",https://synthetic.example.com/products/1032.jpg,"electronics, laptop, computer, student"
1033,FuelFarm Protein Bars Variety Pack,18.99,grocery,FuelFarm,24.99,24.0,12 count,12,count,True,4.3,422,"variety pack of chocolate, peanut butter, and cookie dough protein snack bars. pack of 12 bars or bags. around 20g protein per serving. size 2.1 oz each.",https://synthetic.example.com/products/1033.jpg,"grocery, protein bars, snack, fitness"
1034,FuelFarm Crunch Protein Bars,21.99,grocery,FuelFarm,27.99,21.4,12 count,12,count,True,4.4,271,crispy protein snack bars with whey blend and low sugar. pack of 12 bars or bags. around 21g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1034.jpg,"grocery, protein bars, snack, fitness"
1035,PeakBite Plant Protein Bars,19.49,grocery,PeakBite,23.99,18.8,10 count,10,count,True,4.2,188,plant-based protein bars with almond butter and cocoa. pack of 10 bars or bags. around 15g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1035.jpg,"grocery, protein bars, snack, fitness"
1036,PeakBite Peanut Butter Protein Bars,16.99,grocery,PeakBite,19.99,15.0,8 count,8,count,True,4.1,144,budget protein bars with peanut butter flavor and chewy texture. pack of 8 bars or bags. around 18g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1036.jpg,"grocery, protein bars, snack, fitness"
1037,NorthPeak Recovery Protein Bars,24.99,grocery,NorthPeak,29.99,16.7,12 count,12,count,True,4.5,203,"post-workout protein bars with oats, whey, and balanced macros. pack of 12 bars or bags. around 22g protein per serving. size 2.1 oz each.",https://synthetic.example.com/products/1037.jpg,"grocery, protein bars, snack, fitness"
1038,NorthPeak Mini Protein Bars,11.99,grocery,NorthPeak,14.99,20.0,6 count,6,count,True,4.0,111,mini snack-size protein bars for lunch bags and light snacks. pack of 6 bars or bags. around 10g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1038.jpg,"grocery, protein bars, snack, fitness"
1039,UrbanPulse High Fiber Snack Bars,13.49,grocery,UrbanPulse,16.99,20.6,8 count,8,count,True,4.0,132,"high fiber snack bars, not a full protein bar, good for budget snacking. pack of 8 bars or bags. around 8g protein per serving. size 2.1 oz each.",https://synthetic.example.com/products/1039.jpg,"grocery, protein bars, snack, fitness"
1040,UrbanPulse Protein Brownie Bars,17.99,grocery,UrbanPulse,21.99,18.2,8 count,8,count,True,4.2,93,brownie-style protein snack bars with fudgy texture. pack of 8 bars or bags. around 16g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1040.jpg,"grocery, protein bars, snack, fitness"
1041,ClearWave Granola Bars Family Pack,9.99,grocery,ClearWave,12.49,20.0,16 count,16,count,True,3.8,165,family pack granola bars; cheaper snack option but lower protein. pack of 16 bars or bags. around 4g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1041.jpg,"grocery, protein bars, snack, fitness"
1042,ClearWave Protein Crisps,14.99,grocery,ClearWave,17.99,16.7,7 count,7,count,True,4.1,77,savory protein crisps bags for alternative snack search results. pack of 7 bars or bags. around 12g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1042.jpg,"grocery, snacks, snack, fitness"
1043,PureTrail Meal Bars,23.99,grocery,PureTrail,27.99,14.3,12 count,12,count,True,4.3,119,meal-replacement style bars with higher calories and balanced nutrition. pack of 12 bars or bags. around 18g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1043.jpg,"grocery, protein bars, snack, fitness"
1044,PureTrail Keto Protein Bars,26.99,grocery,PureTrail,31.99,15.6,12 count,12,count,True,4.4,83,keto-friendly protein bars with low net carbs and nut base. pack of 12 bars or bags. around 17g protein per serving. size 2.1 oz each.,https://synthetic.example.com/products/1044.jpg,"grocery, protein bars, snack, fitness"
1045,BrightDrop Vitamin C Serum 30ml,18.99,beauty,BrightDrop,24.99,24.0,30 ml,30,ml,True,4.4,318,vitamin c brightening skincare serum for uneven tone and dullness. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1045.jpg,"beauty, skincare, serum"
1046,BrightDrop Niacinamide Serum 30ml,14.99,beauty,BrightDrop,19.99,25.0,30 ml,30,ml,True,4.5,287,niacinamide serum that helps balance oil and refine the look of pores. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1046.jpg,"beauty, skincare, serum"
1047,LumaLeaf Hyaluronic Serum 30ml,16.49,beauty,LumaLeaf,21.99,25.0,30 ml,30,ml,True,4.6,251,hydrating hyaluronic acid serum with lightweight texture for daily skincare. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1047.jpg,"beauty, skincare, serum"
1048,LumaLeaf Peptide Renewal Serum 30ml,28.99,beauty,LumaLeaf,34.99,17.1,30 ml,30,ml,True,4.5,174,peptide serum for smoothing and hydration in a simple nightly routine. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1048.jpg,"beauty, skincare, serum"
1049,PureTrail Retinol Beginner Serum 30ml,22.99,beauty,PureTrail,29.99,23.3,30 ml,30,ml,True,4.3,146,gentle retinol serum for beginners with soothing ceramides. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1049.jpg,"beauty, skincare, serum"
1050,PureTrail Snail Repair Serum 40ml,19.99,beauty,PureTrail,25.99,23.1,40 ml,40,ml,True,4.4,201,repair-focused serum with snail mucin and panthenol for dry skin. skincare product size 40 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1050.jpg,"beauty, skincare, serum"
1051,NorthPeak Barrier Support Serum 30ml,26.99,beauty,NorthPeak,32.99,18.2,30 ml,30,ml,True,4.6,164,barrier support serum with ceramides and squalane for sensitive skin. skincare product size 30 ml. designed for daily routine and clear labeling.,https://synthetic.example.com/products/1051.jpg,"beauty, skincare, serum"
1052,GlowHarbor Daily Gel Cleanser 150ml,11.99,beauty,GlowHarbor,14.99,20.0,150 ml,150,ml,True,4.2,135,"gel facial cleanser, a related skincare item but not a serum. skincare product size 150 ml. designed for daily routine and clear labeling.",https://synthetic.example.com/products/1052.jpg,"beauty, skincare, related"
1053,GlowHarbor Daily Moisture Cream 50ml,13.99,beauty,GlowHarbor,17.99,22.2,50 ml,50,ml,True,4.1,129,"daily moisturizer, useful as slightly noisy skincare retrieval result. skincare product size 50 ml. designed for daily routine and clear labeling.",https://synthetic.example.com/products/1053.jpg,"beauty, skincare, related"
1054,GlowHarbor Mineral Sunscreen SPF 50,15.99,beauty,GlowHarbor,19.99,20.0,50 ml,50,ml,True,4.3,111,"mineral sunscreen for face, another skincare item near serum searches. skincare product size 50 ml. designed for daily routine and clear labeling.",https://synthetic.example.com/products/1054.jpg,"beauty, skincare, related"
1055,NorthPeak Sterling Silver Hoop Earrings,19.99,jewelery,NorthPeak,24.99,20.0,1 piece,1,piece,True,4.4,189,sterling silver hoop earrings with lightweight daily-wear design. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1055.jpg,"jewelery, accessory, gift"
1056,BrightDrop Gold-Plated Chain Necklace,24.99,jewelery,BrightDrop,31.99,21.9,1 piece,1,piece,True,4.3,173,gold-plated chain necklace for everyday layering. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1056.jpg,"jewelery, accessory, gift"
1057,LumaLeaf Minimalist Ring Set,14.99,jewelery,LumaLeaf,18.99,21.1,1 piece,1,piece,True,4.1,141,stackable ring set with minimalist finish and giftable box. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1057.jpg,"jewelery, accessory, gift"
1058,PureTrail Birthstone Pendant Necklace,21.99,jewelery,PureTrail,27.99,21.4,1 piece,1,piece,True,4.5,112,pendant necklace with colorful stone and adjustable chain. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1058.jpg,"jewelery, accessory, gift"
1059,UrbanPulse Stainless Steel Bracelet,16.99,jewelery,UrbanPulse,20.99,19.1,1 piece,1,piece,True,4.2,86,stainless steel bracelet with durable polished finish. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1059.jpg,"jewelery, accessory, gift"
1060,GlowHarbor Pearl Stud Earrings,12.99,jewelery,GlowHarbor,15.99,18.8,1 piece,1,piece,True,4.0,131,classic faux pearl stud earrings for formal or casual wear. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1060.jpg,"jewelery, accessory, gift"
1061,AeroTune Cubic Zirconia Tennis Bracelet,29.99,jewelery,AeroTune,39.99,25.0,1 piece,1,piece,True,4.6,95,sparkling cubic zirconia bracelet with secure clasp. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1061.jpg,"jewelery, accessory, gift"
1062,Nimbus Adjustable Signet Ring,18.49,jewelery,Nimbus,22.99,19.6,1 piece,1,piece,True,4.3,77,adjustable signet-style ring with polished unisex design. 1 jewelry piece in gift-ready packaging.,https://synthetic.example.com/products/1062.jpg,"jewelery, accessory, gift"
1063,NorthPeak Essential T-Shirt,14.99,men's clothing,NorthPeak,19.99,25.0,sizes S-XL,1,piece,True,4.3,421,"soft cotton crewneck t-shirt for everyday wear. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1063.jpg,"men's clothing, shirt, t-shirt"
1064,NorthPeak Heavyweight T-Shirt,19.99,men's clothing,NorthPeak,24.99,20.0,sizes S-XL,1,piece,True,4.5,205,"heavier cotton t-shirt with relaxed fit and durable stitching. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1064.jpg,"men's clothing, shirt, t-shirt"
1065,ClearWave Budget Tee 2-Pack,17.99,men's clothing,ClearWave,21.99,18.2,sizes S-XL,1,piece,True,4.0,154,"two-pack basic t-shirts for value shopping. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1065.jpg,"men's clothing, shirt, t-shirt"
1066,UrbanPulse Athletic T-Shirt,16.49,men's clothing,UrbanPulse,20.99,21.4,sizes S-XL,1,piece,True,4.2,144,"moisture-wicking athletic t-shirt for workouts. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1066.jpg,"men's clothing, shirt, t-shirt"
1067,Nimbus Premium Pima Tee,24.99,men's clothing,Nimbus,31.99,21.9,sizes S-XL,1,piece,True,4.6,132,"premium pima cotton t-shirt with smooth hand feel. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1067.jpg,"men's clothing, shirt, t-shirt"
1068,TypeFlow Casual Polo Shirt,22.99,men's clothing,TypeFlow,27.99,17.9,sizes S-XL,1,piece,True,4.1,88,"casual polo shirt, useful nearby result for shirt queries. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1068.jpg,"men's clothing, shirt, casual"
1069,AeroTune Lightweight Hoodie,29.99,men's clothing,AeroTune,39.99,25.0,sizes S-XL,1,piece,True,4.4,97,"lightweight hoodie for layering in spring. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1069.jpg,"men's clothing, apparel, casual"
1070,BeatHarbor Graphic Tee,12.99,men's clothing,BeatHarbor,16.99,23.5,sizes S-XL,1,piece,True,3.9,67,"graphic print t-shirt at low price. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1070.jpg,"men's clothing, shirt, t-shirt"
1071,PureTrail Outdoor Pocket Tee,18.99,men's clothing,PureTrail,23.99,20.8,sizes S-XL,1,piece,True,4.3,76,"outdoor-inspired pocket t-shirt with relaxed fit. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1071.jpg,"men's clothing, shirt, t-shirt"
1072,LumaLeaf Linen Blend Shirt,27.99,men's clothing,LumaLeaf,34.99,20.0,sizes S-XL,1,piece,True,4.1,58,"linen blend short-sleeve shirt, adjacent shirt result. men's clothing item, size range s-xl.",https://synthetic.example.com/products/1072.jpg,"men's clothing, shirt, casual"
1073,BrightDrop Everyday Scoop Tee,15.99,women's clothing,BrightDrop,19.99,20.0,sizes XS-XL,1,piece,True,4.4,211,"soft scoop-neck tee for everyday layering. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1073.jpg,"women's clothing, t-shirt"
1074,BrightDrop Relaxed Cotton T-Shirt,16.99,women's clothing,BrightDrop,21.99,22.7,sizes XS-XL,1,piece,True,4.5,175,"relaxed fit cotton t-shirt with draped silhouette. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1074.jpg,"women's clothing, t-shirt"
1075,GlowHarbor Ribbed Baby Tee,13.99,women's clothing,GlowHarbor,17.99,22.2,sizes XS-XL,1,piece,True,4.2,122,"ribbed baby tee in stretch cotton. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1075.jpg,"women's clothing, t-shirt"
1076,GlowHarbor Airy V-Neck Tee,18.49,women's clothing,GlowHarbor,22.99,19.6,sizes XS-XL,1,piece,True,4.3,94,"airy v-neck t-shirt for warm weather. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1076.jpg,"women's clothing, t-shirt"
1077,LumaLeaf Boxy Crop Tee,14.49,women's clothing,LumaLeaf,18.49,21.6,sizes XS-XL,1,piece,True,4.1,101,"boxy crop t-shirt with relaxed casual shape. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1077.jpg,"women's clothing, t-shirt"
1078,LumaLeaf Everyday Tank Top,12.99,women's clothing,LumaLeaf,15.99,18.8,sizes XS-XL,1,piece,True,4.0,89,"tank top for warm weather; nearby apparel result. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1078.jpg,"women's clothing, apparel"
1079,NorthPeak Soft Jersey Tee 2-Pack,24.99,women's clothing,NorthPeak,29.99,16.7,sizes XS-XL,1,piece,True,4.6,161,"two-pack women’s soft jersey t-shirts for strong value. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1079.jpg,"women's clothing, t-shirt"
1080,Nimbus Premium Modal Tee,26.99,women's clothing,Nimbus,33.99,20.6,sizes XS-XL,1,piece,True,4.7,138,"premium modal t-shirt with smooth drape and clean finish. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1080.jpg,"women's clothing, t-shirt"
1081,UrbanPulse Workout Tee,17.49,women's clothing,UrbanPulse,21.99,20.5,sizes XS-XL,1,piece,True,4.2,83,"performance workout t-shirt with moisture control. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1081.jpg,"women's clothing, t-shirt"
1082,PureTrail Lightweight Cardigan,28.99,women's clothing,PureTrail,35.99,19.4,sizes XS-XL,1,piece,True,4.3,59,"lightweight cardigan, intentionally adjacent to clothing search results. women's clothing item, size range xs-xl.",https://synthetic.example.com/products/1082.jpg,"women's clothing, apparel"
1083,TypeFlow Wireless Mouse,19.99,electronics,TypeFlow,24.99,20.0,1 unit,1,unit,True,4.2,266,wireless optical mouse for office and study setups. related accessory for search diversity.,https://synthetic.example.com/products/1083.jpg,"electronics, accessory"
1084,NorthPeak 1080p Webcam,34.99,electronics,NorthPeak,44.99,22.2,1 unit,1,unit,True,4.3,177,"usb webcam for classes, interviews, and video calls. related accessory for search diversity.",https://synthetic.example.com/products/1084.jpg,"electronics, accessory"
1085,QuietArc USB-C Charger 65W,25.99,electronics,QuietArc,31.99,18.8,1 unit,1,unit,True,4.5,224,"fast usb-c charger for phones, tablets, and laptops. related accessory for search diversity.",https://synthetic.example.com/products/1085.jpg,"electronics, accessory"
1086,AeroTune Laptop Stand,22.99,electronics,AeroTune,28.99,20.7,1 unit,1,unit,True,4.4,143,aluminum laptop stand for better posture on desks. related accessory for search diversity.,https://synthetic.example.com/products/1086.jpg,"electronics, accessory"
